Rang,Spieler,Punkte
1,[AZO]Azuuzz,1389336
2,[AZO]Feivel D MauS,1135736
3,[AZO]2 s t y,1015143
4,[AZO]UMY Stern,778665
5,[AZO]Gordon Freimann,691244
6,[AZO]Li La LiNuS,635496
7,[AZO]Last Wolf Warrior,588847
8,[AZO]Queen from AZO,581705
9,[AZO]Bugab0o,544138
10,[AZO]RAV28,490210
11,[AZO]DaliborDaki,471885
12,[AZO]Xambash,467561
13,[AZO]SamoZlo,431903
14,[AZO]PHOENIX FOX,408005
15,[AZO]Cluster82,369321
16,[AZO]Giorgiovillage,347562
17,[AZO]azerty57,281140
18,[AZO]Swe Sandman,252886
19,[AZO]FATUUM,233379
20,[AZO]Dragon blou,225615
21,[AZO]jukata,160918
22,[AZO]yyyyyvhhnmll,129353
23,[AZO]Marshalfery,115098
24,[AZO]Bestia77,102140
25,[AZO]Mac1902,75892
26,[AZO]ozzy5255,7922