Rank,Name,Score
1,[AZO]SNEAKY BUNNY,3412552
2,[AZO]Smowy,2780136
3,[AZO]Giorgiotown,2291157
4,[AZO]Kotor47,2105181
5,[AZO]Haulsen,1884472
6,[AZO]haasenpeter rex,1502859
7,[AZO]Dr Cal Lightman,1327352
8,[AZO]Skywölkchen,1128134
9,[AZO]lefueT,1028934
10,[AZO]Fran171526,886887
11,[AZO]R2DrehZwo,744500
12,[AZO]Amir Yakuza,656164
13,[AZO]1Łukasz1,555510
14,[AZO]Hhjjjjcg,554765
15,[AZO]ZIYOUD,470346
16,[AZO]Aenwe,463957
17,[AZO]Svela17,445294
18,[AZO]Lieutenant Treetops,362633
19,[AZO]Kytrider,358420
20,[AZO]SNPOL,306910
21,[AZO]Jimi777,235840