Rang,Kommandant,Punkte
1,UMY Stern,37851250
2,Smowy,23313850
3,Fürst der Nazgûl,22033125
4,haasenpeter rex,19943725
5,SNEAKY BUNNY,18886175
6,Haulsen,16081763
7,Skywölkchen,15736300
8,Li La LiNuS,14723500
9,Bugab0o,14610625
10,JSheridan,14164450
11,RAV28,13274925
12,Queen from AZO,12717350
13,Baba Basti,12179950
14,Last Wolf Warrior,11812250
15,Giorgiovillage,11011375
16,DaliborDaki,10785350
17,2 s t y,10607850
18,Kotor47,9986950
19,Dr Cal Lightman,9974675
20,Jónny666,9843250
21,SmartesGirl,9649650
22,Katerina77,9635825
23,Dragon blou,9493302
24,Feivel D MauS,9162875
25,Kytrider,9060275
26,Gordon Freimann,8946625
27,Amir Yakuza,8902148
28,CalziferFire,8870350
29,IefueT,8838800
30,Giorgiotown,8814525
31,Last Arti,8763225
32,Cluster82,8544525
33,Xambash,8537550
34,Elora Faye,8298475
35,Crossf4d3,8242647
36,Tom12234455,8215021
37,Süßarpüff,8127375
38,Tyskie 66,7890475
39,cappu97,7855950
40,Peridakles,7852825
41,Dejweed,7836025
42,PHOENIX FOX,7636370
43,Svela17,7588225
44,sunny75,7566450
45,SNPOL,7493150
46,Bogo und Pini,7477703
47,SamoZlo,7466614
48,ECSI,7450250
49,DragonWiz,7406250
50,Fran171526,7374500
51,metauchopf,7365996
52,GaaGol,7343393
53,Cheesynator,7340025
54,1Łukasz1,7324725
55,DooYooDoo,7303555
56,Mel Lyn,7295775
57,FATUUM,7280700
58,Aenwe,7279052
59,Jacob Carter,7233050
60,EXITUS,7229850
61,K E R S Y,7214268
62,Schlabberbacke,7081350
63,Lieutenant Treetops,6704375
64,azerty57,5945005
65,Marshalfery,5883229
66,Bestia77,5803686
67,케포 부인,5769842
68,Mac1902,5638975
69,R2DrehZwo,5262228
70,Lilly187,4996250
71,Christo30,4748075
72,ZIYOUD,4594276
73,Mischel89,4489227
74,Himbeertony,4457125
75,The Pharo 2026,4302038
76,yyyyyyvhhnmll,4298024
77,MrSajmonnn,4298000
78,jukata,4283400
79,Leijonamieli,4217270
80,Swe Sandman,4166750
81,Sanya Longer,4162973
82,LatastrophenUlli,4119926
83,VxClicker,4083350
84,Br0nzo,4039150
85,Hhjjjjcg,4029723
86,fffeyz,3890425
87,feimel,3888100
88,Yama Arashi,3781311
89,Kpiftw,3687375
90,Sultan Murat X,3629475
91,Toby Urbex,3281490
92,K u r d o,3012730
93,Sphere8472,3008475
94,Jimi777,2915500
95,Pinsel20,2701150
96,El Profesor  92,2227500
97,ozzy5255,1914705
98,MiepStreet,1641200
99,jobcenter FFM,238837