Position,Name,Punkte
1,SNEAKY BUNNY,33677275
2,BugabOo,27376325
3,Li La LiNuS,26829675
4,supi pupi,23873925
5,Baba Basti,22956400
6,Gordon Freimann,22127125
7,Fran171526,20366675
8,Kotor47,20192750
9,Dejweed,20137875
10,Jacob Carter,19036925
11,Amir Yakuza,18965303
12,EXITUS,18149675
13,UMY Stern,17633600
14,cappu97,16928875
15,SmartesGirl,16076750
16,lefueT,14969650
17,Dr Cal Lightman,14330300
18,Dragon blou,13771475
19,Last Wolf Warrior,13609100
20,Sphere8472,13425750
21,RAV28,13347350
22,fffeyz,13120750
23,Tyskie 66,12609450
24,SNPOL,11877100
25,2 s t y,11693650
26,Smowy,11259250
27,Jónny666,11110250
28,haasenpeter rex,10989700
29,Last Arti,10928825
30,Svela17,10607975
31,Queen from AZO,10545800
32,Christo30,10405800
33,TheShorty,10040350
34,Kpiftw,10038400
35,GaaGol,10002325
36,Hhjjjjcg,9719650
37,Giorgiotown,9718225
38,Space peak,9640700
39,Tom12234455,9525650
40,Bogo und Pini,9335150
41,Lilien1999,9274600
42,CalziferFire,9183650
43,Pawelte,9045375
44,Peridakles,8915325
45,MrSajmonn,8851350
46,dome94G,8799225
47,Cluster82,8789050
48,Fürstin Elora,8711025
49,DaliborDaki,8639725
50,ECSI,8397625
51,ozzy5255,8165075
52,Haulsen,8142025
53,Toby Urbex,8133000
54,PHOENIX FOX,8082900
55,Aenwe,8044750
56,Itstheghoul,8009600
57,Marshalfery,7894234
58,Leijonamieli,7890650
59,JSheridan,7821350
60,Sultan Murat X,7791825
61,Jimi777,7782400
62,Mac1902,7734000
63,jukata,7724750
64,The Nanos,7684300
65,SamoZlo,7641300
66,Campio91,7634150
67,feimel,7608825
68,Mischel89,7569844
69,LatastrophenUlli,7546400
70,DragonWiz,7474800
71,jobcenter FFM,7462425
72,Himbeertony,7439500
73,Fürst der Nazgûl,7422925
74,KERSY,7377725
75,Kytrider,7353275
76,azerty57,7319275
77,Katerina77,7243850
78,Golden FOX,7235225
79,Pinsel20,7229325
80,MG Mayo,7211150
81,sunny75,6567075
82,케포 부인,6375825
83,Cheesynator,6293675
84,VxClicker,6066700
85,Z4ID,5911300
86,FATUUM,5351900
87,The Pharo 2026,5221125
88,MiepStreet,4888475
89,Feivel D MauS,4171900
90,K u r d o,3897935
91,Peeter99,3787425
92,yyyyyvhhnmll,2337275
93,Sanya Longer,2328700
94,Skywölkchen,2230400
95,waynowazza,2162828
96,Bestia77,1751625
97,Schlabberbacke,1551650